Source,Target,Type,Id,Label,timeset,Weight
Alshamsi789,933557217,Directed,575527,,,1
Alshamsi789,933557380,Directed,577698,,,1
Alshamsi789,933557216,Directed,575445,,,1
Alshamsi789,933556634,Directed,568276,,,1
Alshamsi789,933557079,Directed,574183,,,1
Alshamsi789,933557123,Directed,574770,,,1
Alshamsi789,933557170,Directed,575089,,,1
Alshamsi789,933556747,Directed,569871,,,1
Alshamsi789,933557259,Directed,575778,,,1
Alshamsi789,933557363,Directed,577420,,,1
Alshamsi789,933556323,Directed,565008,,,1
Alshamsi789,933557338,Directed,576707,,,1
Alshamsi789,933556288,Directed,564474,,,1
Alshamsi789,933557265,Directed,575961,,,1
Alshamsi789,3yyash,Directed,340623,,,1
Alshamsi789,aalkawakebi,Directed,340613,,,1
Alshamsi789,abaabood,Directed,340609,,,1
Alshamsi789,AbdallahMarouf,Directed,340605,,,1
Alshamsi789,Abdulaziz_Hmadi,Directed,340603,,,1
Alshamsi789,AbdulazizSay,Directed,340602,,,1
Alshamsi789,abdulaziztarefe,Directed,340601,,,1
Alshamsi789,Abdulkhaleq_UAE,Directed,340598,,,1
Alshamsi789,Abdulla_Alamadi,Directed,340597,,,1
Alshamsi789,Abdullah96wa,Directed,340596,,,1
Alshamsi789,AbdulqdoosA,Directed,340593,,,1
Alshamsi789,Abdurrahmanezz,Directed,340591,,,1
Alshamsi789,abo3asam,Directed,340589,,,1
Alshamsi789,abohamzahasanat,Directed,340588,,,1
Alshamsi789,abqatar,Directed,340585,,,1
Alshamsi789,abuhilalah,Directed,340584,,,1
Alshamsi789,AD_As3ad,Directed,340583,,,1
Alshamsi789,adham922,Directed,340582,,,1
Alshamsi789,adhamsharkawi,Directed,340581,,,1
Alshamsi789,AdnanHmidan,Directed,340578,,,1
Alshamsi789,Ahmad_Alshaibah,Directed,340573,,,1
Alshamsi789,Ahmad_Alyehri,Directed,340572,,,1
Alshamsi789,AhmadyuAlsayed,Directed,340569,,,1
Alshamsi789,AhmedElbaqry,Directed,340564,,,1
Alshamsi789,AHussan,Directed,340562,,,1
Alshamsi789,alaa_q,Directed,340545,,,1
Alshamsi789,alestiklal_Gulf,Directed,340540,,,1
Alshamsi789,AliBakeer,Directed,340531,,,1
Alshamsi789,aljaberi,Directed,340529,,,1
Alshamsi789,AlkaramaHR,Directed,340527,,,1
Alshamsi789,almuharrmi,Directed,340522,,,1
Alshamsi789,alrahbi5,Directed,340518,,,1
Alshamsi789,Alsharqinfo,Directed,340515,,,1
Alshamsi789,althani_faisal,Directed,340512,,,1
Alshamsi789,Alwashi7i,Directed,340511,,,1
Alshamsi789,alzuair_,Directed,340509,,,1
Alshamsi789,amansouraja,Directed,340505,,,1
Alshamsi789,amnestygulf,Directed,340501,,,1
Alshamsi789,amr_darrag,Directed,340499,,,1
Alshamsi789,AnaAlarabytv,Directed,340497,,,1
Alshamsi789,aref_hijjawi,Directed,340486,,,1
Alshamsi789,ayman_shweky,Directed,340471,,,1
Alshamsi789,Aziz_Almahmoud,Directed,340470,,,1
Alshamsi789,bader_alhamid,Directed,340468,,,1
Alshamsi789,BDS_Arabic,Directed,340460,,,1
Alshamsi789,Below19,Directed,340457,,,1
Alshamsi789,billmarczak,Directed,340454,,,1
Alshamsi789,binnahar85,Directed,340451,,,1
Alshamsi789,BO_6ALLEB,Directed,340449,,,1
Alshamsi789,CyberkovCEO,Directed,340426,,,1
Alshamsi789,DanielWickham93,Directed,340423,,,1
Alshamsi789,dareiainfo,Directed,340422,,,1
Alshamsi789,davut1374,Directed,340421,,,1
Alshamsi789,DAWN_Arabic,Directed,340420,,,1
